# Rodriguez-Puebla et al. 2017,MNRAS.470,651. arXiv:1703.04542
#IMF=Chabrier 2003
#Halos = Mvir, subhalos = Mpeak
#(1): z
#(2): Mvir_peak
#(3): M50
           0      11.9875       10.599
         0.1      11.9917      10.6191
         0.2      12.0002      10.6389
         0.3      12.0135      10.6589
         0.4      12.0315       10.679
         0.5      12.0533       10.699
         0.6       12.078      10.7191
         0.7      12.1047      10.7388
         0.8      12.1321      10.7589
         0.9      12.1599      10.7789
           1      12.1871       10.799
         1.1      12.2134       10.819
         1.2      12.2383      10.8391
         1.3      12.2618      10.8589
         1.4      12.2835      10.8789
         1.5      12.3033       10.899
         1.6      12.3214       10.919
         1.7      12.3375      10.9391
         1.8      12.3519      10.9588
         1.9      12.3645      10.9789
           2      12.3754      10.9989
         2.1      12.3846       11.019
         2.2      12.3921       11.039
         2.3      12.3983      11.0591
         2.4      12.4028      11.0789
         2.5      12.4061      11.0989
         2.6       12.408       11.119
         2.7      12.4087       11.139
         2.8      12.4082      11.1591
         2.9      12.4065      11.1788
           3      12.4038      11.1989
